행,열,값
2,C,1
2,D,0
2,F,0
3,C,1
3,D,0
3,F,0
4,D,0
4,E,0
4,G,0
5,D,0
5,E,0
5,G,0
6,D,0
6,E,0
6,F,0
7,D,0
7,E,0
7,F,0
8,D,0
8,E,0
8,F,0
9,C,1
9,D,0
9,E,0
10,C,1
10,D,0
10,E,0
11,C,1
11,D,0
11,E,0
12,J,차대차
12,K,측면직각충돌
12,L,안전운전 의무 불이행
13,J,차량단독
13,K,전도전복
13,L,안전운전 의무 불이행
14,J,차대차
14,K,추돌
14,L,안전운전 의무 불이행
15,J,차대사람
15,K,횡단중
15,L,안전운전 의무 불이행
16,J,차대차
16,K,추돌
16,L,안전운전 의무 불이행
17,J,차대사람
17,K,횡단중
17,L,안전운전 의무 불이행
18,J,차대차
18,K,측면직각충돌
18,L,안전운전 의무 불이행
19,J,차대사람
19,K,횡단중
19,L,안전운전 의무 불이행
20,J,차대차
20,K,정면충돌
20,L,안전운전 의무 불이행
21,J,차대사람
21,K,횡단중
21,L,안전운전 의무 불이행
22,M,단일로
22,N,터널안
22,O,승용차
23,M,단일로
23,N,터널안
23,O,승용차
24,M,단일로
24,N,횡단보도상
24,O,승용차
25,M,교차로
25,N,교차로부근
25,P,보행자
26,M,단일로
26,N,터널안
26,P,없음
27,M,단일로
27,N,횡단보도부근
27,P,보행자
28,M,단일로
28,N,터널안
28,O,승용차
28,P,보행자
29,M,교차로
29,N,교차로부근
29,O,승용차
29,P,보행자
30,M,단일로
30,N,터널안
30,O,승용차
30,P,없음
31,M,단일로
31,N,터널안
31,O,화물차
31,P,보행자
32,C,1
32,D,0
32,I,계양구
33,C,1
33,D,0
33,I,전주시
34,E,1
34,F,0
34,I,동구
35,E,4
35,F,0
35,I,광산구
36,E,3
36,F,0
36,I,송파구
37,H,경기
37,I,포천시
38,H,경기
38,I,화성시
39,H,경기
39,I,평택시
40,H,경기
40,I,용인시
41,H,경기
41,I,평택시
42,B,금
42,J,차대차
42,K,측면직각충돌
43,B,일
43,J,차대차
43,K,정면충돌
44,B,월
44,K,측면직각충돌
44,L,안전운전 의무 불이행
44,M,교차로
45,B,목
45,K,전도전복
45,L,안전운전 의무 불이행
45,M,단일로
46,B,수
46,K,횡단중
46,L,안전운전 의무 불이행
46,M,단일로
47,A,야간
47,C,1
47,D,0
47,O,승용차
48,A,야간
48,C,1
48,D,0
48,O,승용차
49,A,야간
49,D,0
49,E,0
49,N,교차로부근
50,A,주간
50,D,0
50,E,0
50,N,터널안
51,A,주간
51,D,0
51,E,0
51,N,교차로부근
